host_id,property_id,room_type,price,cleaning_fee,availability_next_30,availability_next_60,availability_next_90,reviews_per_month,review_scores_rating,review_scores_location,cancellation_policy,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,ordinal_rating,available,Years_host
10082182,7353,Entire home/apt,160.0,40.0,3,23,50,4.8,98.0,10.0,strict_14_with_grace_period,2013,within an hour,100%,1,6.0,Lisboa,38.71945,-9.1343,Apartment,4 Stars,Yellow,7
15295975,11834,Entire home/apt,185.0,45.0,24,49,79,2.52,91.0,9.0,strict_14_with_grace_period,2014,within an hour,100%,0,3.0,Lisboa,38.72633,-9.1332,Apartment,3 Stars,Green,6
101542522,11836,Entire home/apt,90.0,0.0,17,31,61,1.84,91.0,8.0,flexible,2016,within an hour,95%,0,11.0,Lisboa,38.72627,-9.116489999999999,Apartment,3 Stars,Green,4
671579,11837,Entire home/apt,144.0,60.0,2,5,13,1.65,95.0,10.0,moderate,2011,within an hour,100%,0,3.0,Lisboa,38.71448,-9.14736,Cottage,3 Stars,Yellow,9
138598231,11838,Entire home/apt,160.0,70.0,9,12,21,0.68,97.0,10.0,strict_14_with_grace_period,2017,within a few hours,100%,0,1.0,Mafra,38.96868,-9.40777,House,4 Stars,Green,3
51427189,11839,Entire home/apt,103.0,20.0,14,17,36,0.45,95.0,9.0,flexible,2015,within a day,60%,0,1.0,Alenquer,39.05725,-9.05967,House,3 Stars,Green,5
8781937,11840,Entire home/apt,54.0,25.0,1,3,4,3.1,92.0,9.0,strict_14_with_grace_period,2013,within an hour,92%,0,3.0,Lisboa,38.7186,-9.124889999999999,Apartment,3 Stars,Yellow,7
53569686,11841,Entire home/apt,100.0,25.0,9,19,37,2.65,93.0,10.0,moderate,2016,within an hour,100%,0,2.0,Lisboa,38.71143,-9.12808,Apartment,3 Stars,Green,4
13567546,11842,Entire home/apt,98.0,0.0,12,40,70,4.29,99.0,10.0,strict_14_with_grace_period,2014,within an hour,100%,1,18.0,Lisboa,38.71087,-9.13917,Apartment,4 Stars,Green,6
141406847,11843,Entire home/apt,140.0,45.0,7,8,17,1.71,95.0,9.0,moderate,2017,within an hour,90%,1,2.0,Lisboa,38.7223,-9.13364,Apartment,3 Stars,Yellow,3
13567546,274,Entire home/apt,98.0,0.0,24,54,84,3.64,99.0,10.0,strict_14_with_grace_period,2014,within an hour,100%,1,18.0,Lisboa,38.71116,-9.13722,Apartment,4 Stars,Green,6
141465998,11844,Entire home/apt,50.0,10.0,2,3,4,3.43,93.0,9.0,moderate,2017,within an hour,90%,1,1.0,Lisboa,38.71756,-9.12595,Apartment,3 Stars,Yellow,3
17239424,11846,Private room,85.0,25.0,6,18,38,0.26,90.0,10.0,strict_14_with_grace_period,2014,a few days or more,0%,0,3.0,Lisboa,38.734609999999996,-9.13368,Guest suite,2 Stars,Yellow,6
141488039,11847,Entire home/apt,90.0,40.0,0,0,0,1.34,97.0,8.0,moderate,2017,within an hour,100%,1,4.0,Lisboa,38.7307,-9.11173,Apartment,4 Stars,Red,3
141490358,11848,Entire home/apt,120.0,20.0,14,30,60,0.74,95.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,0,1.0,Lisboa,38.71873,-9.14308,Apartment,3 Stars,Green,3
3953109,11849,Entire home/apt,73.0,0.0,8,17,29,0.74,85.0,10.0,moderate,2012,within an hour,100%,0,495.0,Lisboa,38.71009,-9.145660000000001,Apartment,2 Stars,Green,8
1039097,11850,Entire home/apt,95.0,30.0,15,25,44,0.3,71.0,9.0,strict_14_with_grace_period,2011,within an hour,92%,0,9.0,Lisboa,38.70415,-9.177769999999999,Apartment,1 Star,Green,9
2922233,11851,Entire home/apt,115.0,30.0,27,57,87,0.17,100.0,9.0,strict_14_with_grace_period,2012,within a few hours,70%,0,2.0,Cascais,38.70707,-9.38289,Loft,5 Stars,Green,8
3953109,11852,Entire home/apt,57.0,0.0,12,21,41,0.59,88.0,9.0,moderate,2012,within an hour,100%,0,495.0,Lisboa,38.76562,-9.0994,Apartment,2 Stars,Green,8
46932167,11853,Entire home/apt,84.0,0.0,13,24,50,1.28,98.0,10.0,moderate,2015,within an hour,100%,1,4.0,Sintra,38.79014,-9.37694,Apartment,4 Stars,Green,5
119841063,11854,Private room,25.0,0.0,0,25,31,0.8,98.0,9.0,moderate,2017,within a day,50%,1,3.0,Lisboa,38.75215,-9.19004,Serviced apartment,4 Stars,Red,3
141557508,11855,Entire home/apt,85.0,0.0,8,16,35,1.58,86.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,0,2.0,Lisboa,38.712340000000005,-9.127469999999999,Apartment,2 Stars,Green,3
138125654,11856,Private room,50.0,11.0,7,15,29,2.39,91.0,10.0,flexible,2017,within an hour,100%,0,4.0,Sintra,38.79873,-9.38676,Apartment,3 Stars,Yellow,3
22073623,11857,Entire home/apt,125.0,40.0,0,6,33,2.22,99.0,10.0,moderate,2014,within an hour,100%,1,1.0,Lisboa,38.71151,-9.148810000000001,Apartment,4 Stars,Red,6
141008330,11858,Entire home/apt,118.0,39.0,0,3,12,0.52,97.0,9.0,moderate,2017,within an hour,100%,1,2.0,Cascais,38.711040000000004,-9.432319999999999,Apartment,4 Stars,Red,3
141589055,11859,Entire home/apt,90.0,35.0,8,15,35,0.36,95.0,9.0,moderate,2017,within a day,100%,0,1.0,Sintra,38.799609999999994,-9.38493,Apartment,3 Stars,Green,3
141590662,11860,Entire home/apt,116.0,40.0,4,14,35,0.47,100.0,10.0,strict_14_with_grace_period,2017,within an hour,100%,1,5.0,Lisboa,38.712540000000004,-9.12903,Apartment,5 Stars,Yellow,3
56209811,11861,Entire home/apt,125.0,40.0,2,13,43,1.63,94.0,10.0,strict_14_with_grace_period,2016,within an hour,100%,0,6.0,Lisboa,38.71647,-9.146510000000001,Apartment,3 Stars,Yellow,4
141594286,11862,Private room,35.0,12.0,20,47,77,3.61,92.0,9.0,strict_14_with_grace_period,2017,within an hour,100%,0,3.0,Lisboa,38.75933,-9.14126,Apartment,3 Stars,Green,3
52619861,11863,Entire home/apt,114.0,25.0,6,20,47,3.77,91.0,9.0,strict_14_with_grace_period,2015,within an hour,100%,0,2.0,Lisboa,38.72368,-9.13697,Apartment,3 Stars,Yellow,5
15176737,11864,Entire home/apt,109.0,30.0,16,37,67,5.3,97.0,10.0,strict_14_with_grace_period,2014,within an hour,100%,1,3.0,Lisboa,38.72438,-9.15191,Apartment,4 Stars,Green,6
141651543,11865,Entire home/apt,130.0,30.0,5,34,64,0.21,80.0,8.0,strict_14_with_grace_period,2017,within an hour,100%,0,1.0,Lisboa,38.7274,-9.14832,Apartment,1 Star,Yellow,3
46932167,11866,Entire home/apt,90.0,0.0,7,21,43,1.36,98.0,9.0,moderate,2015,within an hour,100%,1,4.0,Sintra,38.79098,-9.37787,Apartment,4 Stars,Yellow,5
141660514,11867,Entire home/apt,75.0,15.0,0,0,0,0.52,98.0,9.0,moderate,2017,a few days or more,0%,0,1.0,Lisboa,38.718790000000006,-9.15448,Apartment,4 Stars,Red,3
128192508,11868,Entire home/apt,75.0,0.0,0,0,0,0.13,90.0,8.0,moderate,2017,a few days or more,0%,0,2.0,Lisboa,38.71352,-9.14512,Apartment,2 Stars,Red,3
38165341,11869,Entire home/apt,165.0,45.0,1,2,20,2.53,97.0,10.0,strict_14_with_grace_period,2015,within an hour,100%,0,4.0,Lisboa,38.722,-9.15279,Apartment,4 Stars,Yellow,5
3953109,11870,Entire home/apt,88.0,0.0,9,13,30,1.21,91.0,9.0,moderate,2012,within an hour,100%,0,495.0,Lisboa,38.71147,-9.147310000000001,Apartment,3 Stars,Green,8
141666694,11871,Private room,200.0,30.0,29,59,89,0.26,90.0,10.0,flexible,2017,a few days or more,0%,0,1.0,Lisboa,38.709790000000005,-9.13462,Apartment,2 Stars,Green,3
124462320,11872,Entire home/apt,150.0,10.0,5,20,32,0.81,96.0,10.0,moderate,2017,within an hour,100%,0,9.0,Lisboa,38.71301,-9.146360000000001,Apartment,4 Stars,Yellow,3
139997561,11873,Entire home/apt,90.0,30.0,26,56,86,0.09,100.0,10.0,moderate,2017,within an hour,100%,0,5.0,Lisboa,38.70655,-9.155510000000001,Apartment,5 Stars,Green,3
25429613,11874,Private room,29.0,5.0,0,30,60,1.69,80.0,9.0,strict_14_with_grace_period,2014,within an hour,100%,0,4.0,Lisboa,38.71288,-9.1471,Apartment,1 Star,Red,6
4187932,11875,Entire home/apt,140.0,0.0,0,14,19,1.42,99.0,10.0,moderate,2012,within an hour,100%,1,1.0,Lisboa,38.70854,-9.15366,Guesthouse,4 Stars,Red,8
